consumption_1470-1494,[]
budge_1545-1569,[]
wastour_1545-1569,"['ioincte', 'foole', 'marquete', 'fole', 'pecke', 'cannoniste', 'bydo', 'lyer', 'knaue', 'deuilli', 'dder', 'successu', 'rabet', 'lier', 'expectant', 'taburin', 'briar', 'daw', 'lookth', 'gluni']"
waster_1545-1569,"['extorcion', 'hongre', 'kepynge', 'skull', 'ornametes', 'gaynes', 'marchant', 'cappe', 'detriment', 'incest', 'owners', 'thauctorytyes', 'sellynge', 'priuye', 'occacion', 'vermilion', 'spyght', 'vtilite', 'suppuro', 'riote']"
speculation_1545-1569,"['blanchet', 'crym', 'pouders', 'glasses', 'patiense', 'camphora', 'endinges', 'rablemet', 'parings', 'motton', 'proceading', 'largenesse', 'greace', 'glasyng', 'helyng', 'scolars', 'bugunze', 'orobo', 'placinge', 'protesilaus']"
debitum_1545-1569,"['nullus', 'quoque', 'tulit', 'nomina', 'hinc', 'pariter', 'suae', 'paruo', 'verborum', 'uerbis', 'id', 'modis', 'simul', 'episcopus', 'linguae', 'terrae', 'hunc', 'quocunque', 'tot', 'iuxta']"
debt_1545-1569,"['benefice', 'gain', 'suite', 'impediment', 'claime', 'vocacio', 'curate', 'promotion', 'disquiet', 'deputies', 'household', 'decrye', 'inkeepers', 'clayme', 'parcell', 'forfeite', 'cappe', 'default', 'bribery', 'officer']"
expense_1545-1569,"['rhynos', 'alexadrethe', 'nakydnesse', 'portyngales', 'mordrede', 'lieftenaute', 'seleucu', 'dankester', 'uantage', 'transformacions', 'lyuelynesse', 'flenbotho', 'dysorders', 'cumberous', 'benignitye', 'citiees', 'dispared', 'dysyples', 'fleshc', 'sphaerica']"
gain_1545-1569,"['tarauce', 'desyr', 'annuities', 'benefice', 'disquiet', 'cuning', 'vnaduisedly', 'vittayle', 'turk', 'distrayne', 'owners', 'gaynes', 'impedi', 'falshode', 'annuitie', 'comaundid', 'lease', 'debt', 'codicio', 'defaulte']"
miser_1545-1569,"['ddygymydd', 'vwyty', 'kymunet', 'cyn', 'phell', 'bullis', 'merch', 'standan', 'subitum', 'communicare', 'penaria', 'hyder', 'desyr', 'llan', 'chynvelyn', 'gadarn', 'geidw', 'cachy', 'optar', 'libitum']"
fortune_1545-1569,"['chaunce', 'witte', 'youth', 'beautie', 'mischiefe', 'care', 'store', 'fame', 'lust', 'she', 'pleasure', 'yll', 'successe', 'payne', 'hap', 'trauayle', 'gaine', 'labour', 'chaunse', 'foly']"
fortuna_1545-1569,"['solet', 'illic', 'pars', 'etenim', 'nulli', 'suus', 'licet', 'namque', 'venit', 'huic', 'dicendi', 'olim', 'omne', 'ipsis', 'hominum', 'primum', 'cert', 'nescio', 'uel', 'locum']"
use_1545-1569,"['uerite', 'barcke', 'colyck', 'mis', 'drown', 'tueit', 'dyssolutyue', 'profet', 'camoenae', 'proportione', 'establysh', 'deuice', 'strengthes', 'mecanyke', 'tunis', 'faining', 'caracters', 'laws', 'valis', 'peruerte']"
usury_1545-1569,"['puersite', 'copeus', 'volsis', 'conceauyd', 'werexxi', 'syls', 'displeasant', 'discortesie', 'sesibly', 'excludyng', 'sedicyouselye', 'tonet', 'smilax', 'eearth', 'daunrous', 'ingedreth', 'quikley', 'totokens', 'profittable', 'geason']"
interest_1545-1569,"['claime', 'promotion', 'waster', 'curiosytie', 'tytle', 'parson', 'appetyte', 'officer', 'synguler', 'frauncheses', 'occupation', 'foresaide', 'facultie', 'ouerplus', 'ornametes', 'detriment', 'autority', 'dignite', 'cappe', 'regiment']"
temperance_1545-1569,"['fortitude', 'politique', 'temperaunce', 'chyfe', 'quyetnesse', 'holinesse', 'magnanimitie', 'synguler', 'cxxviij', 'rodian', 'diuyne', 'sapience', 'constitution', 'repressing', 'qualitee', 'isocrates', 'chough', 'sobrietie', 'temperauce', 'singulare']"
consumption_1570-1594,"['rinde', 'quarte', 'boyling', 'tarte', 'decocted', 'pinte', 'saucer', 'huske', 'muske', 'pestle', 'walnut', 'beane', 'gumme', 'vapour', 'pint', 'dropsie', 'pottell', 'uinegar', 'marowe', 'honye']"
consume_1570-1594,"['sinke', 'quench', 'drowne', 'deuoure', 'swim', 'flow', 'deuour', 'burne', 'vanish', 'waste', 'nourish', 'fade', 'kindle', 'melt', 'fill', 'teare', 'swell', 'vanishe', 'couer', 'expell']"
cupiditas_1570-1594,"['nimium', 'palmam', 'praeceptorum', 'orbi', 'istam', 'posteris', 'iuuenem', 'flamma', 'pudor', 'vnda', 'quibusdam', 'veteres', 'docent', 'ideoque', 'veterum', 'verm', 'totam', 'accepit', 'veterem', 'uti']"
cupidity_1570-1594,"['willowbye', 'inculpable', 'nours', 'vvhose', 'mycholl', 'ioktan', 'forceresse', 'pediculos', 'gunbyes', 'incredulytie', 'sanz', 'priams', 'thessallie', 'ordinces', 'preiuie', 'satiatus', 'ofthy', 'outwrests', 'credulities', 'fances']"
curiositas_1570-1594,"['coisters', 'ouerslow', 'niple', 'aeorum', 'iubetand', 'enterfering', 'eiulatha', 'colten', 'perrae', 'chasteaulx', 'ychangde', 'thelin', 'tomusis', 'andredesceaster', 'spanayrde', 'grottes', 'supportatio', 'peoplemenenius', 'affris', 'rescyted']"
curiosity_1570-1594,"['sharpnes', 'delayes', 'rashnes', 'supposes', 'tongs', 'noueltie', 'lightnes', 'vnabilitie', 'cunninge', 'bragges', 'brags', 'delaies', 'pains', 'vnrest', 'rashnesse', 'pursute', 'feruor', 'fondnesse', 'iestures', 'trauail']"
greed_1570-1594,"['standers', 'cuyrace', 'agred', 'talked', 'wednesdaye', 'misdemenaur', 'agreed', 'seuerue', 'leaned', 'fletstreete', 'ouersyght', 'deathbeds', 'comingd', 'epistfudamentumc', 'declae', 'merian', 'spearmen', 'enterprized', 'gazed', 'caleeuer']"
desire_1570-1594,"['loue', 'desyre', 'care', 'minde', 'desires', 'comfort', 'hope', 'mynde', 'mind', 'patience', 'affection', 'looue', 'comforte', 'pleasure', 'contentment', 'zeale', 'liking', 'shame', 'ease', 'delight']"
appetite_1570-1594,"['humour', 'lust', 'excesse', 'humor', 'immoderate', 'patient', 'dyet', 'luste', 'coueting', 'stomacke', 'sweat', 'excessiue', 'nourishment', 'appetites', 'affections', 'diet', 'lightnesse', 'surfet', 'inordinate', 'lusts']"
lust_1570-1594,"['luste', 'enuie', 'anger', 'disdaine', 'appetite', 'pride', 'pouertie', 'hate', 'couetousnesse', 'malice', 'auarice', 'filthy', 'concupiscence', 'couetousnes', 'rage', 'lusts', 'wickednesse', 'lustes', 'pryde', 'sweat']"
lvst_1570-1594,[]
libido_1570-1594,"['opes', 'praesertim', 'conciliare', 'potuit', 'prorsus', 'insania', 'volunt', 'digna', 'premis', 'liquet', 'bonos', 'gladiatore', 'oculos', 'loca', 'scripta', 'adeo', 'viros', 'constat', 'inclyta', 'potis']"
avarice_1570-1594,"['calomnies', 'corrompu', 'lechery', 'vingtiesme', 'adultere', 'accoucha', 'afferment', 'assiduior', 'defacyng', 'escossois', 'caeremonies', 'aille', 'reendly', 'tormetz', 'monts', 'swearinge', 'damour', 'eloquemment', 'linstrument', 'vouloit']"
possess_1570-1594,"['dixisse', 'viento', 'depositio', 'permagna', 'vassalli', 'morauiae', 'strada', 'legatus', 'cordialmente', 'liuij', 'bothuelio', 'proverby', 'solicitate', 'thucididis', 'poverta', 'sturmi', 'eystett', 'interijt', 'piacesse', 'octaua']"
possession_1570-1594,"['lande', 'howse', 'kingdome', 'inheritance', 'safetie', 'kingedome', 'landes', 'countrie', 'kingdom', 'land', 'safegarde', 'gouernaunce', 'custodie', 'countrey', 'subiection', 'dominion', 'lands', 'citie', 'custody', 'forces']"
possessing_1570-1594,"['frolicke', 'saftie', 'decaying', 'polliticke', 'enduring', 'consistent', 'disturbing', 'hyghe', 'ciuyll', 'tenaunts', 'melune', 'enriching', 'harboringe', 'enuironer', 'eglentine', 'afflictioun', 'inflammaret', 'lycentious', 'mutability', 'freedomes']"
busy_1570-1594,"['headstrong', 'apted', 'nespargnoit', 'abiecten', 'hollding', 'whearon', 'steples', 'lothsomenes', 'ryotous', 'colvmna', 'maximique', 'modic', 'pert', 'contrahendi', 'hopping', 'tray', 'ometheo', 'flyghts', 'battayl', 'cossenzaportici']"
businesse_1570-1594,"['busines', 'trauailes', 'iourney', 'trauell', 'affaires', 'trauaile', 'expenses', 'expectation', 'labours', 'absence', 'affayres', 'supplie', 'paines', 'trauel', 'determination', 'trauayle', 'labour', 'dooings', 'sute', 'charges']"
need_1570-1594,"['nede', 'neede', 'ned', 'regarde', 'regard', 'leasure', 'doone', 'leysure', 'agreaunce', 'likelyhode', 'leisure', 'accoumpt', 'lack', 'hoped', 'doon', 'strayts', 'profit', 'acout', 'profite', 'accompt']"
necessity_1570-1594,"['necessitie', 'faulte', 'imperfection', 'trial', 'hinderance', 'defect', 'remedie', 'exception', 'default', 'hinderaunce', 'preiudice', 'impediment', 'validitie', 'entent', 'commodity', 'habilitie', 'intermission', 'tryall', 'maintenace', 'offence']"
needing_1570-1594,"['naie', 'nihilpraeter', 'caryng', 'vnshamefaster', 'ingenuqus', 'caliphos', 'conuenientlye', 'saleable', 'manuals', 'dile', 'talique', 'vtered', 'pittyed', 'persecutez', 'deflecteres', 'knowethe', 'taio', 'seriouslie', 'merendi', 'horrble']"
necessary_1570-1594,"['necessarie', 'requisite', 'needefull', 'needfull', 'profitable', 'necessarye', 'expedient', 'conuenient', 'nedefull', 'principally', 'required', 'needful', 'fitte', 'incident', 'commodious', 'sufficient', 'commendable', 'obserued', 'particular', 'chiefly']"
meed_1570-1594,"['sanctifyer', 'mystres', 'alopantius', 'myld', 'boughtfull', 'saythfull', 'incestpous', 'ieoperdeth', 'saluationi', 'courtesy', 'chambeloe', 'beloud', 'vniustyce', 'nes', 'scornfull', 'eyesight', 'pneumatithmie', 'lasses', 'scorner', 'celii']"
budge_1570-1594,"['stre', 'beatst', 'chasing', 'vpmounts', 'waillit', 'coughe', 'meughst', 'aetna', 'teene', 'raylst', 'ceraunio', 'fyling', 'cyterne', 'dashe', 'putts', 'greekish', 'sheares', 'braune', 'hawthrone', 'deskants']"
waster_1570-1594,"['quareller', 'kinchen', 'inuento', 'abandonnez', 'drunkard', 'seaswolne', 'bawd', 'cosumenturvelut', 'drudge', 'gallantt', 'astolphe', 'portrait', 'pulsi', 'gamester', 'parasite', 'posterytie', 'eloquet', 'carpenter', 'shamde', 'hamunitio']"
speculation_1570-1594,"['vvonderfull', 'mathematiques', 'pollycies', 'perfectio', 'nober', 'policy', 'pollicye', 'dealinge', 'gouernemet', 'promoting', 'anadiplosis', 'professions', 'architecture', 'morrall', 'cauillation', 'vvealthe', 'magnitudes', 'theologie', 'learninge', 'forementioned']"
debitum_1570-1594,"['membrum', 'summae', 'voluit', 'loci', 'testimonium', 'iubet', 'instar', 'essent', 'pium', 'bonam', 'iustitiam', 'capere', 'nouae', 'partim', 'ipsorum', 'prorsus', 'romae', 'autoritate', 'baptismus', 'maxim']"
debt_1570-1594,"['suite', 'monie', 'payment', 'raunsome', 'mony', 'hire', 'verdit', 'money', 'reliefe', 'recompence', 'wages', 'benefice', 'ransome', 'aduantage', 'leysure', 'hinderaunce', 'sute', 'relefe', 'share', 'fee']"
expense_1570-1594,"['exornarint', 'painfullie', 'pungere', 'adonaivnum', 'poticaries', 'subijce', 'repairinge', 'vsumeasane', 'pernicitate', 'coucressant', 'merangis', 'flagitantibus', 'tyrique', 'quoc', 'occurreret', 'carley', 'prolixas', 'gabdira', 'decey', 'tendred']"
gain_1570-1594,"['mede', 'coine', 'hire', 'gayn', 'dought', 'infelicitie', 'meruell', 'gayne', 'memphion', 'mischance', 'decaies', 'assurace', 'greef', 'vnkindnesse', 'stint', 'misorder', 'contentation', 'guerdon', 'mishappe', 'greife']"
miser_1570-1594,"['meruit', 'stupet', 'parentibus', 'patre', 'negant', 'quantam', 'degeneres', 'perire', 'sacrae', 'nobilis', 'ceteris', 'nequeo', 'grauiter', 'affirmatur', 'cerebro', 'gerere', 'particeps', 'pauperibus', 'uti', 'facinus']"
fortune_1570-1594,"['hap', 'fortunes', 'chaunce', 'fate', 'wrong', 'mishap', 'fancie', 'fame', 'happe', 'she', 'beautie', 'dame', 'reuenge', 'disdaine', 'folly', 'beauty', 'chance', 'shee', 'foe', 'looue']"
fortuna_1570-1594,"['tanto', 'es', 'amore', 'amor', 'cui', 'vna', 'pari', 'ait', 'papa', 'morte', 'patria', 'suo', 'tui', 'huius', 'nostris', 'totius', 'suis', 'quanto', 'vero', 'cuius']"
use_1570-1594,"['satisfy', 'reform', 'applie', 'prescribe', 'enable', 'employe', 'detect', 'frequent', 'tende', 'recreate', 'apply', 'imploy', 'diminishe', 'reserue', 'disgest', 'applye', 'ouerpasse', 'admonishe', 'retain', 'catechise']"
usury_1570-1594,"['ruffian', 'grynstone', 'hunnisuckle', 'spinadge', 'ballade', 'tilma', 'mahath', 'legalis', 'spinnedge', 'bandogs', 'irelandc', 'begradi', 'lucio', 'vveary', 'sectory', 'gasehounde', 'delicatus', 'traueller', 'turrelupini', 'galgreekes']"
interest_1570-1594,"['priuiledge', 'prerogatiue', 'ouersight', 'approbation', 'intelligence', 'allowance', 'treaty', 'maintenaunce', 'obligation', 'aucthoritie', 'preheminence', 'estimation', 'assurance', 'default', 'authority', 'dispensation', 'parliamentes', 'enueighing', 'commodity', 'gouernaunce']"
temperance_1570-1594,"['wisedom', 'prudence', 'fortitude', 'godlynesse', 'chastenesse', 'pietie', 'incomparable', 'vvisdome', 'moderation', 'sobrietie', 'godlinesse', 'gentlenesse', 'shamefastnesse', 'perseuerance', 'temperaunce', 'continencie', 'humayne', 'wisdom', 'grauitie', 'mildnes']"
consumption_1595-1619,"['liuer', 'feuer', 'cough', 'stomack', 'dropsie', 'fluxe', 'choler', 'canker', 'flegme', 'headache', 'melancholie', 'feauer', 'fleame', 'bladder', 'puddle', 'stomach', 'palsie', 'sappe', 'putrified', 'vomiting']"
consume_1595-1619,"['drowne', 'infect', 'starue', 'melt', 'choake', 'deuoure', 'couer', 'quench', 'sustaine', 'burne', 'rot', 'annoy', 'ouerflow', 'scatter', 'oppresse', 'glut', 'ouerwhelme', 'ouergrow', 'dissolue', 'nourish']"
cupiditas_1595-1619,"['praescriptus', 'iustorum', 'neutiquam', 'nititur', 'impietas', 'aeterna', 'praesentia', 'solius', 'sudore', 'vidimus', 'simplicis', 'diodori', 'matrem', 'calamis', 'crescet', 'moralium', 'humanis', 'scripturis', 'succedunt', 'hominibus']"
cupidity_1595-1619,"['affattica', 'augu�\x9a', 'extruendum', 'obfuscateth', 'taracapa', 'fliuers', 'stete', 'heddpeece', 'eiaculatio', 'monfert', 'fysac', 'salarmoniack', 'ordriwn', 'gratifid', '�\x99should', 'lonem', 'hauem', 'aristophenes', 'ptrough', 'allodgement']"
curiositas_1595-1619,"['alumnum', 'optime', 'charissime', 'iuuat', 'laetis', 'anxius', 'fateor', 'liceat', 'tenuit', 'cepit', 'perquaì', 'auribus', 'puero', 'vocas', 'depositi', 'animumque', 'horis', 'miretur', 'vniuersalem', 'potes']"
curiosity_1595-1619,"['curiositie', 'affectation', 'unmortified', 'impudency', 'ostentation', 'sottishnesse', 'inconstancy', 'multiplicity', 'fraudulent', 'inconstancie', 'indiscreete', 'ciuility', 'leuity', 'vaineglory', 'subtilties', 'fallacious', 'pharisaicall', 'illusion', 'deceits', 'fabling']"
greed_1595-1619,"['coronentur', 'watercresses', 'cauls', 'iealousy', 'depraved', 'trauelld', 'instrumentalle', 'spyde', 'vnbegotten', 'exultatione', 'surfeited', 'subditur', 'grassata', 'vnladen', 'queenekilling', 'ferreted', 'hornden', 'resistentes', 'groining', 'dallied']"
desire_1595-1619,"['desires', 'affection', 'care', 'comfort', 'minde', 'loue', 'contentment', 'mind', 'hope', 'labour', 'endeuour', 'ioy', 'zeale', 'content', 'patience', 'griefe', 'kindnesse', 'grace', 'ease', 'goodnesse']"
appetite_1595-1619,"['humour', 'stomacke', 'excesse', 'nourishment', 'appetites', 'foode', 'immoderate', 'digestion', 'humor', 'humours', 'temper', 'humors', 'lust', 'idlenesse', 'vigour', 'dulnesse', 'heate', 'poyson', 'food', 'desires']"
lust_1595-1619,"['auarice', 'enuy', 'pride', 'enuie', 'fancie', 'ambition', 'iealousie', 'despight', 'concupiscence', 'mallice', 'spite', 'vice', 'sloth', 'wantonnesse', 'deceit', 'foule', 'appetite', 'couetousnesse', 'idlenesse', 'lustfull']"
lvst_1595-1619,"['antichristc', 'lvstfull', 'impuity', 'howthe', 'barege', 'ceremoniousnesse', 'whold', 'fluxion', 'insufciency', 'vsthe', 'tiranouse', 'scripturelearnednes', 'allsuch', 'belf', 'fairemerit', 'sothy', 'magnesian', 'equiualently', 'mettleclancer', 'aspiers']"
libido_1595-1619,"['metu', 'posthac', 'tenes', 'una', 'taedia', 'nimiã¹m', 'gremio', 'reipublicae', 'cineres', 'fouet', 'vatum', 'leuis', 'placent', 'crimina', 'respuit', 'inimica', 'freta', 'poeta', 'plusquam', 'iras']"
avarice_1595-1619,"['cankerd', 'unsufferable', 'covetousnes', 'rapes', 'envy', 'incests', 'xlix', 'phantasticalnesse', 'assuetudo', 'væacation', 'selfewill', 'tartareãsque', 'inuitus', 'proteuslike', 'echidnas', 'pararet', 'sauouring', 'æice', 'abiettione', 'arrogance']"
possess_1595-1619,"['orientalia', 'perambulatushte', 'obededom', 'irealnd', 'damnari', 'stormbringing', 'repentinus', 'bynny', 'dalmatie', 'suspicatur', 'nawdh', 'omystoliton', 'sustuleris', 'fluitantes', 'inuidendo', 'ellasar', 'toppresse', 'perambulator', 'fassus', 'triphalian']"
possession_1595-1619,"['kingdome', 'portion', 'vizeroy', 'possessioì', 'inheritance', 'benefit', 'regiment', 'benefite', 'possessions', 'freedome', 'libertie', 'kingdom', 'liberty', 'safetie', 'recouerie', 'reordring', 'refuge', 'priuiledge', 'custodie', 'election']"
possessing_1595-1619,"['weakning', 'worldlie', 'inwarde', 'weakeneth', 'procureth', 'includes', 'moathconsuming', 'inriching', 'moderating', 'vegetiue', 'abounding', 'diminisheth', 'augmenting', 'winneth', 'waterz', 'dissoluing', 'depriuing', 'vnlimited', 'purchaseth', 'sustaining']"
busy_1595-1619,"['fermented', 'hampered', 'camaelions', 'scabbes', 'cartrope', 'hoye', 'peìknife', 'eateì', 'woormes', 'contado', 'noynted', 'delyuered', 'tangled', 'spronge', 'insurrectioì', 'houds', 'whererein', 'mannaì', 'vnhorsed', 'soiled']"
businesse_1595-1619,"['busines', 'purpose', 'voyage', 'affaires', 'imployment', 'enterprise', 'determination', 'intent', 'aduantage', 'expedition', 'successe', 'affayres', 'aduice', 'opportunitie', 'liking', 'resolution', 'trauaile', 'audience', 'matter', 'occasion']"
need_1595-1619,"['neede', 'nã©ede', 'nã©ed', 'care', 'possessec', 'harme', 'aduantage', 'doe', 'warrant', 'disswadit', 'doubt', 'want', 'cheerfuller', 'account', 'nay', 'done', 'deeped', 'do', 'thereste', 'profite']"
necessity_1595-1619,"['necessitie', 'restitution', 'remedie', 'necessarily', 'remedy', 'triall', 'certaintie', 'tryall', 'consequence', 'reformation', 'equalitie', 'consequent', 'certainty', 'action', 'causes', 'consequently', 'effect', 'exception', 'conformitie', 'extremitie']"
needing_1595-1619,"['corrupter', 'servile', 'injurious', 'bringinge', 'abbattitore', 'adultus', 'vsurious', 'crocked', 'adamnoe', 'brvtvs', 'precisenesse', 'statist', 'vyce', 'leuissima', 'insatiably', 'praiser', 'ouerwã©ening', 'taras', 'vnkynd', 'intentiue']"
necessary_1595-1619,"['necessarie', 'needfull', 'requisite', 'profitable', 'conuenient', 'required', 'expedient', 'indifferent', 'needefull', 'proposed', 'needful', 'commendable', 'ordinary', 'sufficient', 'particular', 'specially', 'auaileable', 'generally', 'reasonable', 'commodious']"
meed_1595-1619,"['welth', 'ingine', 'syre', 'bale', 'meede', 'dispaires', 'guerdon', 'destenies', 'beutie', 'ielousie', 'beawtie', 'chyld', 'goodwil', 'lodestarre', 'vndeserud', 'sideration', 'moanes', 'bewtie', 'kindenesse', 'riuall']"
bougeor_1595-1619,"['araoth', 'flameith', 'vtlaughe', 'plagium', 'christiohn', 'pendo', 'iuenal', 'diseaseloue', 'zanfrone', 'iudiciaepiscoporum', 'middleion', 'suchl', 'tribusisrael', 'louebayne', 'vheirin', 'arabizing', 'curiaì', 'bowts', 'commethshall', 'micantia']"
budge_1595-1619,"['welby', 'bache', 'busbie', 'bonian', 'purfoot', 'snodham', 'lownes', 'iaggard', 'burre', 'purslowe', 'chorlton', 'burbie', 'nathanael', 'busby', 'cuthbert', 'stansby', 'ferbrand', 'aspley', 'fosbrooke', 'smethwick']"
waster_1595-1619,"['fried', 'lambsskinne', 'madder', 'curace', 'posliminio', 'sattine', 'fleumatike', 'mocker', 'diametrum', 'turnolt', 'sassafras', 'fathom', 'incontinenci', 'worldlingc', 'bostonclay', 'frankinsence', 'splinter', 'tawney', 'consumer', 'exchaunged']"
speculation_1595-1619,"['contrarietie', 'faculty', 'notion', 'methode', 'plainnesse', 'mediocritie', 'generalitie', 'vnderstaìding', 'coherence', 'vnderstandinge', 'facultie', 'physicall', 'reasoning', 'capacitie', 'illustration', 'philosophie', 'imperfection', 'logike', 'detection', 'fantasie']"
debitum_1595-1619,"['vnio', 'metu', 'agmina', 'foetum', 'facilem', 'cuncti', 'caeli', 'unquam', 'caeterã¹m', 'cunctos', 'vultum', 'maximas', 'secundã', 'intueri', 'cernere', 'animique', 'animorum', 'numeris', 'defunctum', 'elizabetham']"
debt_1595-1619,"['wages', 'ransome', 'debts', 'pay', 'raunsome', 'recompence', 'payment', 'mony', 'money', 'fee', 'paiment', 'satisfaction', 'hire', 'penny', 'reckoning', 'bargaine', 'charge', 'leisure', 'tribute', 'pawne']"
expense_1595-1619,"['pawning', 'thabusing', 'kibd', 'pacoe', 'aboundancec', 'silverfeathered', 'goldenwired', 'waueing', 'cuffes', 'controulement', 'lenders', 'abettors', 'tendance', 'mã©etings', 'goodwords', 'solicitation', 'brangling', 'rhubarb', 'destintion', 'rentals']"
gain_1595-1619,"['gayne', 'gaining', 'hazzard', 'sterue', 'relã©eue', 'counteruaile', 'intombe', 'yeilde', 'sel', 'grutch', 'carke', 'permittes', 'expend', 'coìfort', 'arripiatur', 'lessen', 'obsession', 'disburse', 'slouth', 'impaire']"
miser_1595-1619,"['fregit', 'reddis', 'quantae', 'tela', 'axem', 'hostis', 'fraenos', 'familiares', 'sufficiunt', 'stercorantem', 'vigila', 'cognitus', 'minaci', 'simulatum', 'miserata', 'ori', 'interfuit', 'sensere', 'saulem', 'furor']"
fortune_1595-1619,"['fate', 'fortunes', 'fates', 'hap', 'chaunce', 'misfortune', 'fame', 'destinie', 'chance', 'hopes', 'foe', 'prize', 'wrong', 'discontent', 'disgrace', 'ill', 'misfortunes', 'successe', 'reuenge', 'mishap']"
fortuna_1595-1619,"['olim', 'vix', 'ista', 'nunquam', 'animum', 'tuo', 'quot', 'tuae', 'tot', 'tanto', 'illa', 'fama', 'ira', 'procul', 'tum', 'quoque', 'tuam', 'viuere', 'puella', 'suos']"
use_1595-1619,"['edification', 'vse', 'ceremonies', 'conformitie', 'ministery', 'administration', 'ordination', 'institution', 'assemblies', 'ordinances', 'practice', 'ministers', 'ministerie', 'exercise', 'constitutions', 'laws', 'traditions', 'interpretation', 'orders', 'service']"
usury_1595-1619,"['ecuì', 'patitu', 'exequitur', 'erogat', 'conuocatio', 'vnuìaex', 'facienduì', 'saecularis', 'gund', 'constitutam', 'alienations', 'secuìdis', 'praenoscuntur', 'elapsi', 'ek', 'vllet', 'producti', 'amurca', 'sensibilia', 'shaht']"
interest_1595-1619,"['allowance', 'priuiledge', 'credite', 'obligation', 'satisfaction', 'approbation', 'dependence', 'credit', 'imployment', 'office', 'regarde', 'information', 'clination', 'determination', 'employment', 'hinderance', 'prerogatiue', 'intrest', 'aduantage', 'incouragement']"
temperance_1595-1619,"['prudence', 'sobrietie', 'fortitude', 'piety', 'sobriety', 'pietie', 'constancy', 'magnanimitie', 'constancie', 'moderation', 'meekenesse', 'grauitie', 'meeknesse', 'continence', 'godlines', 'comelinesse', 'vprightnesse', 'frugality', 'humilitie', 'wisdomes']"
consumption_1620-1644,"['feuer', 'fluxe', 'dropsie', 'flux', 'distemperature', 'sweating', 'inflammation', 'stomach', 'stomack', 'feauer', 'distemper', 'gangrene', 'choler', 'fever', 'stomacke', 'lungs', 'disease', 'gout', 'feaver', 'headache']"
consume_1620-1644,"['drowne', 'devoure', 'infect', 'deuoure', 'burne', 'quench', 'choake', 'nourish', 'scatter', 'burn', 'swallow', 'starve', 'couer', 'kindle', 'drown', 'sowe', 'swimme', 'extinguish', 'rend', 'swim']"
cupiditas_1620-1644,"['quicquam', 'tantae', 'arbitror', 'optim', 'neminem', 'adesse', 'fuisset', 'atqui', 'satanae', 'aetatem', 'gerit', 'talem', 'audet', 'ducum', 'poterit', 'meas', 'videor', 'varijs', 'cruentas', 'velim']"
cupidity_1620-1644,"['uglinesse', 'frenzie', 'shiftlesse', 'wellpleasd', 'fretting', 'deiection', 'rhamnusias', 'plungde', 'murderous', 'pusillanimity', 'slouth', 'wakener', 'selfaccusation', 'lothsomenesse', 'dengys', 'awakd', 'estuation', 'smouldring', 'cutthroate', 'extreamest']"
curiositas_1620-1644,"['consonantiam', 'praedicantur', 'peluem', 'inuentum', 'naturalium', 'prosternam', 'enodatione', 'abunde', 'vigiliis', 'observatu', 'stertit', 'infallibilitatem', 'ceperat', 'persentias', 'ligatum', 'sequutae', 'aurorigena', 'faeliciora', 'ablegatus', 'sufficere']"
curiosity_1620-1644,"['curiositie', 'fancie', 'lightnesse', 'imagination', 'speculation', 'rhetorick', 'applications', 'speculations', 'ostentation', 'fancy', 'affectation', 'dissimulation', 'apprehensions', 'reasoning', 'conjectures', 'imperfections', 'conceptions', 'sence', 'fantasie', 'conceipt']"
greed_1620-1644,"['saluete', 'musi', 'sumptorium', 'pokes', 'lundi', 'dondolo', 'contraint', 'uostre', 'plaira', 'ceux', 'estil', 'mettre', 'douoc', 'perscrutandis', 'iwr', 'baith', 'mellilinguis', 'fucosa', 'famelicos', 'distorqueor']"
desire_1620-1644,"['comfort', 'contentment', 'desires', 'love', 'affection', 'hope', 'loue', 'care', 'assurance', 'joy', 'minde', 'endeavour', 'liking', 'content', 'wish', 'endeauour', 'endevour', 'freedome', 'delight', 'ioy']"
appetite_1620-1644,"['humour', 'appetites', 'lust', 'temper', 'stomack', 'excesse', 'stomacke', 'heat', 'imagination', 'passions', 'humor', 'brain', 'immoderate', 'dulnesse', 'lusts', 'inclination', 'affections', 'vigour', 'nourishment', 'allay']"
lust_1620-1644,"['wantonnesse', 'pride', 'appetite', 'enuy', 'lusts', 'nakednesse', 'sting', 'concupiscence', 'covetousnesse', 'iealousie', 'lustfull', 'madnesse', 'sloth', 'libidinous', 'ambition', 'vice', 'fleshly', 'excesse', 'filthinesse', 'sensuality']"
lvst_1620-1644,"['hping', 'unrepeald', 'elboga', 'houlton', 'herbgrace', 'desiront', 'antonus', 'seizedc', 'explicites', 'vics', 'morderet', 'clubbers', 'moldiwarpe', 'romanecatholike', 'perpenna', 'inwid', 'barlous', 'gstp', 'smhierome', 'aquinasca']"
libido_1620-1644,"['morti', 'lecti', 'praedator', 'murmura', 'quotquot', 'dianae', 'caeco', 'compedibus', 'perfectam', 'istam', 'ejusque', 'ijsdem', 'legitur', 'aureis', 'velint', 'prosunt', 'admittunt', 'liberos', 'deque', 'doces']"
